"Station Name","CHELSEA"
"Province","QUEBEC"
"Latitude","45.52"
"Longitude","-75.78"
"Elevation","112.50"
"Climate Identifier","7031360"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1939-11","1939","11","2.8","","-5.3","","-1.3","","13.3","","-11.1","","14.7","","3.3","","18.0","","","",,"",,""
"1939-12","1939","12","-3.4","","-10.3","","-6.9","","7.8","","-22.2","","33.0","","41.1","","74.2","","","",,"",,""
"1940-01","1940","01","-9.8","","-20.1","","-15.0","","0.6","S","-28.9","","0.5","","37.6","","38.1","","","",,"",,""
"1940-02","1940","02","-4.4","","-18.1","","-11.3","","5.6","","-27.8","","0.0","","36.6","","36.6","","","",,"",,""
"1940-03","1940","03","-1.6","","-12.7","","-7.2","","8.9","","-26.1","","1.5","","77.0","","78.5","","","",,"",,""
"1940-04","1940","04","7.2","","-2.5","","2.4","","22.2","","-9.4","","53.6","","11.4","","65.0","","","",,"",,""
"1940-05","1940","05","18.1","","6.8","","12.5","","25.6","S","-1.7","","111.0","","0.0","","111.0","","","",,"",,""
"1940-06","1940","06","22.1","","11.7","","16.9","","31.1","","5.0","","44.2","","0.0","","44.2","","","",,"",,""
"1940-07","1940","07","25.8","","14.3","","20.1","","32.2","","7.2","","66.8","","0.0","","66.8","","","",,"",,""
"1940-08","1940","08","25.1","","13.6","","19.4","","31.1","S","6.1","","34.5","","0.0","","34.5","","","",,"",,""
"1940-09","1940","09","19.7","","9.4","","14.6","","25.0","","1.7","","42.2","","0.0","","42.2","","","",,"",,""
"1940-10","1940","10","11.4","","1.6","","6.5","","20.6","","-5.0","S","28.7","","0.0","T","28.7","","","",,"",,""
"1940-11","1940","11","3.3","","-3.8","","-0.3","","16.1","","-18.3","","63.5","","53.8","","117.3","","","",,"",,""
"1940-12","1940","12","-3.3","","-13.4","","-8.4","","4.4","S","-27.2","","57.2","","41.1","","98.3","","","",,"",,""
"1941-01","1941","01","-8.2","","-19.1","","-13.7","","1.7","","-29.4","","3.0","","83.1","","86.1","","","",,"",,""
"1941-02","1941","02","-4.7","","-16.8","","-10.8","","3.3","","-31.1","","8.9","","52.1","","61.0","","","",,"",,""
